ct_cd,ct_abbr,ct_name
31169,NETH,Thayer County NE
31171,NETO,Thomas County NE
31173,NETU,Thurston County NE
31175,NEVA,Valley County NE
31177,NEWA,Washington County NE
31179,NEWY,Wayne County NE
31181,NEWE,Webster County NE
31183,NEWH,Wheeler County NE
31185,NEYO,York County NE
32001,NVCH,Churchill County NV
32003,NVCL,Clark County NV
32005,NVDO,Douglas County NV
32007,NVEL,Elko County NV
32009,NVES,Esmeralda County NV
32011,NVEU,Eureka County NV
32013,NVHU,Humboldt County NV
32015,NVLA,Lander County NV
32017,NVLI,Lincoln County NV
32019,NVLY,Lyon County NV
32021,NVMI,Mineral County NV
32023,NVNY,Nye County NV
32027,NVPE,Pershing County NV
32029,NVST,Storey County NV
32031,NVWA,Washoe County NV
32033,NVWH,White Pine County NV
32510,NVCA,Carson City (Indep. City) Cnty NV
33001,NHBE,Belknap County NH
33003,NHCA,Carroll County NH
33005,NHCH,Cheshire County NH
33007,NHCO,Coos County NH
33009,NHGR,Grafton County NH
33011,NHHI,Hillsborough County NH
33013,NHME,Merrimack County NH
33015,NHRO,Rockingham County NH
33017,NHST,Strafford County NH
33019,NHSU,Sullivan County NH
34001,NJAT,Atlantic County NJ
34003,NJBE,Bergen County NJ
34005,NJBU,Burlington County NJ
34007,NJCA,Camden County NJ
34009,NJCP,Cape May County NJ
34011,NJCU,Cumberland County NJ
34013,NJES,Essex County NJ
34015,NJGL,Gloucester County NJ
34017,NJHU,Hudson County NJ
34019,NJHN,Hunterdon County NJ
34021,NJME,Mercer County NJ
34023,NJMI,Middlesex County NJ
34025,NJMO,Monmouth County NJ
34027,NJMR,Morris County NJ
34029,NJOC,Ocean County NJ
34031,NJPA,Passaic County NJ
34033,NJSA,Salem County NJ
34035,NJSO,Somerset County NJ
34037,NJSU,Sussex County NJ
34039,NJUN,Union County NJ
34041,NJWA,Warren County NJ
35001,NMBE,Bernalillo County NM
35003,NMCA,Catron County NM
35005,NMCH,Chaves County NM
35006,NMCI,Cibola County NM
35007,NMCO,Colfax County NM
35009,NMCU,Curry County NM
35011,NMDE,De Baca County NM
35013,NMDO,Dona Ana County NM
35015,NMED,Eddy County NM
35017,NMGR,Grant County NM
35019,NMGU,Guadalupe County NM
35021,NMHA,Harding County NM
35023,NMHI,Hidalgo County NM
35025,NMLE,Lea County NM
35027,NMLI,Lincoln County NM
35028,NMLO,Los Alamos County NM
35029,NMLU,Luna County NM
35031,NMMC,McKinley County NM
35033,NMMO,Mora County NM
35035,NMOT,Otero County NM
35037,NMQU,Quay County NM
35039,NMRI,Rio Arriba County NM
35041,NMRO,Roosevelt County NM
35043,NMSA,Sandoval County NM
35045,NMSN,San Juan County NM
35047,NMSM,San Miguel County NM
35049,NMST,Santa Fe County NM
35051,NMSI,Sierra County NM
35053,NMSO,Socorro County NM
35055,NMTA,Taos County NM
35057,NMTO,Torrance County NM
35059,NMUN,Union County NM
35061,NMVA,Valencia County NM
36001,NYAL,Albany County NY
36003,NYAE,Allegany County NY
36005,NYBR,Bronx County NY
36007,NYBO,Broome County NY
36009,NYCA,Cattaraugus County NY
36011,NYCY,Cayuga County NY
36013,NYCH,Chautauqua County NY
36015,NYCE,Chemung County NY
36017,NYCN,Chenango County NY
36019,NYCL,Clinton County NY
36021,NYCO,Columbia County NY
36023,NYCR,Cortland County NY
36025,NYDE,Delaware County NY
36027,NYDU,Dutchess County NY
36029,NYER,Erie County NY
36031,NYES,Essex County NY
36033,NYFR,Franklin County NY
36035,NYFU,Fulton County NY
36037,NYGE,Genesee County NY
36039,NYGR,Greene County NY
36041,NYHA,Hamilton County NY
36043,NYHE,Herkimer County NY
36045,NYJE,Jefferson County NY
36047,NYKI,Kings County NY
36049,NYLE,Lewis County NY
36051,NYLI,Livingston County NY
36053,NYMA,Madison County NY
36055,NYMO,Monroe County NY
36057,NYMN,Montgomery County NY
36059,NYNA,Nassau County NY
36061,NYNE,New York County NY
36063,NYNI,Niagara County NY
36065,NYON,Oneida County NY
36067,NYOO,Onondaga County NY
36069,NYOT,Ontario County NY
36071,NYOR,Orange County NY
36073,NYOL,Orleans County NY
36075,NYOS,Oswego County NY
36077,NYOE,Otsego County NY
36079,NYPU,Putnam County NY
36081,NYQU,Queens County NY
36083,NYRE,Rensselaer County NY
36085,NYRI,Richmond County NY
36087,NYRO,Rockland County NY
36089,NYST,St. Lawrence County NY
36091,NYSA,Saratoga County NY
36093,NYSC,Schenectady County NY
36095,NYSH,Schoharie County NY
36097,NYSU,Schuyler County NY
36099,NYSE,Seneca County NY
36101,NYSB,Steuben County NY
36103,NYSF,Suffolk County NY
36105,NYSL,Sullivan County NY
36107,NYTI,Tioga County NY
36109,NYTO,Tompkins County NY
36111,NYUL,Ulster County NY
36113,NYWA,Warren County NY
36115,NYWS,Washington County NY
36117,NYWY,Wayne County NY
36119,NYWE,Westchester County NY
36121,NYWO,Wyoming County NY
36123,NYYA,Yates County NY
37001,NCAL,Alamance County NC
37003,NCAE,Alexander County NC
37005,NCAG,Alleghany County NC
37007,NCAN,Anson County NC
37009,NCAS,Ashe County NC
37011,NCAV,Avery County NC
37013,NCBE,Beaufort County NC
37015,NCBR,Bertie County NC
37017,NCBL,Bladen County NC
37019,NCBU,Brunswick County NC
37021,NCBN,Buncombe County NC
37023,NCBK,Burke County NC
37025,NCCA,Cabarrus County NC
37027,NCCL,Caldwell County NC
37029,NCCM,Camden County NC
37031,NCCR,Carteret County NC
37033,NCCS,Caswell County NC
37035,NCCT,Catawba County NC
37037,NCCH,Chatham County NC
37039,NCCE,Cherokee County NC
37041,NCCO,Chowan County NC
37043,NCCY,Clay County NC
37045,NCCV,Cleveland County NC
37047,NCCU,Columbus County NC
37049,NCCN,Craven County NC
37051,NCCB,Cumberland County NC
37053,NCCI,Currituck County NC
37055,NCDA,Dare County NC
37057,NCDV,Davidson County NC
37059,NCDI,Davie County NC
37061,NCDU,Duplin County NC
37063,NCDR,Durham County NC
37065,NCED,Edgecombe County NC
37067,NCFO,Forsyth County NC
37069,NCFR,Franklin County NC
37071,NCGA,Gaston County NC
37073,NCGT,Gates County NC
37075,NCGR,Graham County NC
37077,NCGN,Granville County NC
37079,NCGE,Greene County NC
37081,NCGU,Guilford County NC
37083,NCHA,Halifax County NC
37085,NCHR,Harnett County NC
37087,NCHY,Haywood County NC
37089,NCHE,Henderson County NC
37091,NCHT,Hertford County NC
37093,NCHO,Hoke County NC
37095,NCHD,Hyde County NC
37097,NCIR,Iredell County NC
37099,NCJA,Jackson County NC
37101,NCJO,Johnston County NC
37103,NCJN,Jones County NC
37105,NCLE,Lee County NC
37107,NCLN,Lenoir County NC
37109,NCLI,Lincoln County NC
37111,NCMC,McDowell County NC
37113,NCMA,Macon County NC
37115,NCMD,Madison County NC
37117,NCMR,Martin County NC
37119,NCME,Mecklenburg County NC
37121,NCMI,Mitchell County NC
37123,NCMO,Montgomery County NC
37125,NCMU,Moore County NC
37127,NCNA,Nash County NC
37129,NCNE,New Hanover County NC
37131,NCNO,Northampton County NC
37133,NCON,Onslow County NC
37135,NCOR,Orange County NC
37137,NCPA,Pamlico County NC
37139,NCPS,Pasquotank County NC
37141,NCPE,Pender County NC
37143,NCPR,Perquimans County NC
37145,NCPO,Person County NC
37147,NCPI,Pitt County NC
37149,NCPL,Polk County NC
37151,NCRA,Randolph County NC
37153,NCRI,Richmond County NC
37155,NCRO,Robeson County NC
37157,NCRC,Rockingham County NC
37159,NCRW,Rowan County NC
37161,NCRU,Rutherford County NC
37163,NCSA,Sampson County NC
37165,NCSC,Scotland County NC
37167,NCST,Stanly County NC
37169,NCSO,Stokes County NC
37171,NCSU,Surry County NC
37173,NCSW,Swain County NC
37175,NCTR,Transylvania County NC
37177,NCTY,Tyrrell County NC
37179,NCUN,Union County NC
37181,NCVA,Vance County NC
37183,NCWA,Wake County NC
37185,NCWR,Warren County NC
37187,NCWS,Washington County NC
37189,NCWT,Watauga County NC
37191,NCWY,Wayne County NC
37193,NCWI,Wilkes County NC
37195,NCWL,Wilson County NC
37197,NCYA,Yadkin County NC
37199,NCYN,Yancey County NC
38001,NDAD,Adams County ND
38003,NDBA,Barnes County ND
38005,NDBE,Benson County ND
38007,NDBI,Billings County ND
38009,NDBO,Bottineau County ND
38011,NDBW,Bowman County ND
38013,NDBU,Burke County ND
38015,NDBR,Burleigh County ND
38017,NDCA,Cass County ND
38019,NDCV,Cavalier County ND
38021,NDDI,Dickey County ND
38023,NDDV,Divide County ND
38025,NDDU,Dunn County ND
38027,NDED,Eddy County ND
38029,NDEM,Emmons County ND
38031,NDFO,Foster County ND
38033,NDGO,Golden Valley County ND
38035,NDGR,Grand Forks County ND
38037,NDGA,Grant County ND
38039,NDGI,Griggs County ND
38041,NDHE,Hettinger County ND
38043,NDKI,Kidder County ND
38045,NDLA,La Moure County ND
38047,NDLO,Logan County ND
38049,NDMC,McHenry County ND
38051,NDMI,McIntosh County ND
38053,NDMK,McKenzie County ND
38055,NDML,McLean County ND
38057,NDME,Mercer County ND
38059,NDMO,Morton County ND
38061,NDMU,Mountrail County ND
38063,NDNE,Nelson County ND
38065,NDOL,Oliver County ND
38067,NDPE,Pembina County ND
38069,NDPI,Pierce County ND
38071,NDRA,Ramsey County ND
38073,NDRN,Ransom County ND
38075,NDRE,Renville County ND
38077,NDRI,Richland County ND
38079,NDRO,Rolette County ND
38081,NDSA,Sargent County ND
38083,NDSH,Sheridan County ND
38085,NDSI,Sioux County ND
38087,NDSL,Slope County ND
38089,NDST,Stark County ND
38091,NDSE,Steele County ND
38093,NDSU,Stutsman County ND
38095,NDTO,Towner County ND
38097,NDTR,Traill County ND
38099,NDWA,Walsh County ND
38101,NDWR,Ward County ND
38103,NDWE,Wells County ND
38105,NDWI,Williams County ND
39001,OHAD,Adams County OH
39003,OHAL,Allen County OH
39005,OHAS,Ashland County OH
39007,OHAH,Ashtabula County OH
39009,OHAT,Athens County OH
39011,OHAU,Auglaize County OH
39013,OHBE,Belmont County OH
39015,OHBR,Brown County OH
39017,OHBU,Butler County OH
39019,OHCA,Carroll County OH
39021,OHCH,Champaign County OH
39023,OHCL,Clark County OH
39025,OHCE,Clermont County OH
39027,OHCI,Clinton County OH
39029,OHCO,Columbiana County OH
39031,OHCS,Coshocton County OH
39033,OHCR,Crawford County OH
39035,OHCU,Cuyahoga County OH
39037,OHDA,Darke County OH
39039,OHDE,Defiance County OH
39041,OHDL,Delaware County OH
39043,OHER,Erie County OH
39045,OHFA,Fairfield County OH
39047,OHFY,Fayette County OH
39049,OHFR,Franklin County OH
39051,OHFU,Fulton County OH
39053,OHGA,Gallia County OH
39055,OHGE,Geauga County OH
39057,OHGR,Greene County OH
39059,OHGU,Guernsey County OH
39061,OHHA,Hamilton County OH
39063,OHHN,Hancock County OH
39065,OHHR,Hardin County OH
39067,OHHI,Harrison County OH
39069,OHHE,Henry County OH
39071,OHHG,Highland County OH
39073,OHHO,Hocking County OH
39075,OHHL,Holmes County OH
39077,OHHU,Huron County OH
39079,OHJA,Jackson County OH
39081,OHJE,Jefferson County OH
39083,OHKN,Knox County OH
39085,OHLA,Lake County OH
39087,OHLW,Lawrence County OH
39089,OHLI,Licking County OH
39091,OHLO,Logan County OH
39093,OHLR,Lorain County OH
39095,OHLU,Lucas County OH
39097,OHMA,Madison County OH
39099,OHMH,Mahoning County OH
39101,OHMR,Marion County OH
39103,OHME,Medina County OH
39105,OHMI,Meigs County OH
39107,OHMC,Mercer County OH
39109,OHMM,Miami County OH
39111,OHMO,Monroe County OH
39113,OHMN,Montgomery County OH
39115,OHMG,Morgan County OH
39117,OHMW,Morrow County OH
39119,OHMU,Muskingum County OH
39121,OHNO,Noble County OH
39123,OHOT,Ottawa County OH
39125,OHPA,Paulding County OH
39127,OHPE,Perry County OH
39129,OHPI,Pickaway County OH
39131,OHPK,Pike County OH
39133,OHPO,Portage County OH
39135,OHPR,Preble County OH
39137,OHPU,Putnam County OH
39139,OHRI,Richland County OH
39141,OHRO,Ross County OH
39143,OHSA,Sandusky County OH
39145,OHSC,Scioto County OH
39147,OHSE,Seneca County OH
39149,OHSH,Shelby County OH
39151,OHST,Stark County OH
39153,OHSU,Summit County OH
39155,OHTR,Trumbull County OH
39157,OHTU,Tuscarawas County OH
39159,OHUN,Union County OH
39161,OHVA,Van Wert County OH
39163,OHVI,Vinton County OH
39165,OHWA,Warren County OH
39167,OHWS,Washington County OH
39169,OHWY,Wayne County OH
39171,OHWI,Williams County OH
39173,OHWO,Wood County OH
39175,OHWN,Wyandot County OH
40001,OKAD,Adair County OK
40003,OKAL,Alfalfa County OK
40005,OKAT,Atoka County OK
40007,OKBE,Beaver County OK
40009,OKBC,Beckham County OK
40011,OKBL,Blaine County OK
40013,OKBR,Bryan County OK
40015,OKCA,Caddo County OK
40017,OKCN,Canadian County OK
40019,OKCR,Carter County OK
40021,OKCH,Cherokee County OK
40023,OKCO,Choctaw County OK
40025,OKCI,Cimarron County OK
40027,OKCL,Cleveland County OK
40029,OKCC,Coal County OK
40031,OKCM,Comanche County OK
40033,OKCT,Cotton County OK
40035,OKCG,Craig County OK
40037,OKCE,Creek County OK
40039,OKCU,Custer County OK
40041,OKDE,Delaware County OK
40043,OKDW,Dewey County OK
40045,OKEL,Ellis County OK
40047,OKGA,Garfield County OK
40049,OKGR,Garvin County OK
40051,OKGD,Grady County OK
40053,OKGN,Grant County OK
40055,OKGE,Greer County OK
40057,OKHA,Harmon County OK
40059,OKHR,Harper County OK
40061,OKHS,Haskell County OK
40063,OKHU,Hughes County OK
40065,OKJA,Jackson County OK
40067,OKJE,Jefferson County OK
40069,OKJO,Johnston County OK
40071,OKKA,Kay County OK
40073,OKKI,Kingfisher County OK
40075,OKKO,Kiowa County OK
40077,OKLA,Latimer County OK
40079,OKLE,Le Flore County OK
40081,OKLI,Lincoln County OK
40083,OKLO,Logan County OK
40085,OKLV,Love County OK
40087,OKMC,McClain County OK
40089,OKMU,McCurtain County OK
40091,OKMI,McIntosh County OK
40093,OKMA,Major County OK
40095,OKMR,Marshall County OK
40097,OKMY,Mayes County OK
40099,OKMO,Murray County OK
40101,OKMS,Muskogee County OK
40103,OKNO,Noble County OK
40105,OKNW,Nowata County OK
40107,OKOK,Okfuskee County OK
40109,OKOL,Oklahoma County OK
40111,OKOM,Okmulgee County OK
40113,OKOS,Osage County OK
40115,OKOT,Ottawa County OK
40117,OKPA,Pawnee County OK
40119,OKPY,Payne County OK
40121,OKPI,Pittsburg County OK
40123,OKPO,Pontotoc County OK
40125,OKPT,Pottawatomie County OK
40127,OKPU,Pushmataha County OK
40129,OKRO,Roger Mills County OK
40131,OKRG,Rogers County OK
40133,OKSE,Seminole County OK
40135,OKSQ,Sequoyah County OK
40137,OKST,Stephens County OK
40139,OKTE,Texas County OK
40141,OKTI,Tillman County OK
40143,OKTU,Tulsa County OK
40145,OKWA,Wagoner County OK
40147,OKWS,Washington County OK
40149,OKWH,Washita County OK
40151,OKWO,Woods County OK
40153,OKWD,Woodward County OK
41001,ORBA,Baker County OR
41003,ORBE,Benton County OR
41005,ORCL,Clackamas County OR
41007,ORCA,Clatsop County OR
41009,ORCO,Columbia County OR
41011,ORCS,Coos County OR
41013,ORCR,Crook County OR
41015,ORCU,Curry County OR
41017,ORDE,Deschutes County OR
41019,ORDO,Douglas County OR
41021,ORGI,Gilliam County OR
41023,ORGR,Grant County OR
41025,ORHA,Harney County OR
41027,ORHO,Hood River County OR
41029,ORJA,Jackson County OR
41031,ORJE,Jefferson County OR
41033,ORJO,Josephine County OR
41035,ORKL,Klamath County OR
41037,ORLA,Lake County OR
41039,ORLN,Lane County OR
41041,ORLI,Lincoln County OR
41043,ORLC,Linn County OR
41045,ORMA,Malheur County OR
41047,ORMR,Marion County OR
41049,ORMO,Morrow County OR
41051,ORMU,Multnomah County OR
41053,ORPO,Polk County OR
41055,ORSH,Sherman County OR
41057,ORTI,Tillamook County OR
41059,ORUM,Umatilla County OR
41061,ORUN,Union County OR
41063,ORWA,Wallowa County OR
41065,ORWS,Wasco County OR
41067,ORWH,Washington County OR
41069,ORWE,Wheeler County OR
41071,ORYA,Yamhill County OR
42001,PAAD,Adams County PA
42003,PAAL,Allegheny County PA
42005,PAAR,Armstrong County PA
42007,PABE,Beaver County PA
42009,PABD,Bedford County PA
42011,PABR,Berks County PA
42013,PABL,Blair County PA
42015,PABA,Bradford County PA
42017,PABU,Bucks County PA
42019,PABT,Butler County PA
42021,PACA,Cambria County PA
42023,PACM,Cameron County PA
42025,PACR,Carbon County PA
42027,PACE,Centre County PA
42029,PACH,Chester County PA
42031,PACL,Clarion County PA
42033,PACF,Clearfield County PA
42035,PACI,Clinton County PA
42037,PACO,Columbia County PA
42039,PACW,Crawford County PA
42041,PACU,Cumberland County PA
42043,PADA,Dauphin County PA
42045,PADE,Delaware County PA
42047,PAEL,Elk County PA
42049,PAER,Erie County PA
42051,PAFA,Fayette County PA
42053,PAFO,Forest County PA
42055,PAFR,Franklin County PA
42057,PAFU,Fulton County PA
42059,PAGR,Greene County PA
42061,PAHU,Huntingdon County PA
42063,PAIN,Indiana County PA
42065,PAJE,Jefferson County PA
42067,PAJU,Juniata County PA
42069,PALA,Lackawanna County PA
42071,PALN,Lancaster County PA
42073,PALW,Lawrence County PA
42075,PALE,Lebanon County PA
42077,PALH,Lehigh County PA
42079,PALU,Luzerne County PA
42081,PALY,Lycoming County PA
42083,PAMC,McKean County PA
42085,PAME,Mercer County PA
42087,PAMI,Mifflin County PA
42089,PAMO,Monroe County PA
42091,PAMN,Montgomery County PA
42093,PAMT,Montour County PA
42095,PANO,Northampton County PA
42097,PANR,Northumberland County PA
42099,PAPE,Perry County PA
42101,PAPH,Philadelphia County PA
42103,PAPI,Pike County PA
42105,PAPO,Potter County PA
42107,PASC,Schuylkill County PA
42109,PASN,Snyder County PA
42111,PASO,Somerset County PA
42113,PASU,Sullivan County PA
42115,PASS,Susquehanna County PA
42117,PATI,Tioga County PA
42119,PAUN,Union County PA
42121,PAVE,Venango County PA
42123,PAWA,Warren County PA
42125,PAWS,Washington County PA
42127,PAWY,Wayne County PA
42129,PAWE,Westmoreland County PA
42131,PAWO,Wyoming County PA
42133,PAYO,York County PA
44001,RIBR,Bristol County RI
44003,RIKE,Kent County RI
44005,RINE,Newport County RI
44007,RIPR,Providence County RI
44009,RIWA,Washington County RI
45001,SCAB,Abbeville County SC
45003,SCAI,Aiken County SC
45005,SCAL,Allendale County SC
45007,SCAN,Anderson County SC
45009,SCBA,Bamberg County SC
45011,SCBR,Barnwell County SC
45013,SCBE,Beaufort County SC
45015,SCBK,Berkeley County SC
45017,SCCA,Calhoun County SC
45019,SCCH,Charleston County SC
45021,SCCE,Cherokee County SC
45023,SCCS,Chester County SC
45025,SCCT,Chesterfield County SC
45027,SCCL,Clarendon County SC
45029,SCCO,Colleton County SC
45031,SCDA,Darlington County SC
45033,SCDI,Dillon County SC
45035,SCDO,Dorchester County SC
45037,SCED,Edgefield County SC
45039,SCFA,Fairfield County SC
45041,SCFL,Florence County SC
45043,SCGE,Georgetown County SC
45045,SCGR,Greenville County SC
45047,SCGN,Greenwood County SC
45049,SCHA,Hampton County SC
45051,SCHO,Horry County SC
45053,SCJA,Jasper County SC
45055,SCKE,Kershaw County SC
45057,SCLA,Lancaster County SC
45059,SCLU,Laurens County SC
45061,SCLE,Lee County SC
45063,SCLX,Lexington County SC
45065,SCMC,McCormick County SC
45067,SCMA,Marion County SC
45069,SCMR,Marlboro County SC
45071,SCNE,Newberry County SC
45073,SCOC,Oconee County SC
45075,SCOR,Orangeburg County SC
45077,SCPI,Pickens County SC
45079,SCRI,Richland County SC
45081,SCSA,Saluda County SC
45083,SCSP,Spartanburg County SC
45085,SCSU,Sumter County SC
45087,SCUN,Union County SC
45089,SCWI,Williamsburg County SC
45091,SCYO,York County SC
46003,SDAU,Aurora County SD
46005,SDBE,Beadle County SD
46007,SDBN,Bennett County SD
46009,SDBO,Bon Homme County SD
46011,SDBR,Brookings County SD
46013,SDBW,Brown County SD
46015,SDBU,Brule County SD
46017,SDBF,Buffalo County SD
46019,SDBT,Butte County SD
46021,SDCA,Campbell County SD
46023,SDCH,Charles Mix County SD
46025,SDCL,Clark County SD
46027,SDCY,Clay County SD
46029,SDCO,Codington County SD
46031,SDCR,Corson County SD
46033,SDCU,Custer County SD
46035,SDDA,Davison County SD
46037,SDDY,Day County SD
46039,SDDE,Deuel County SD
46041,SDDW,Dewey County SD
46043,SDDO,Douglas County SD
46045,SDED,Edmunds County SD
46047,SDFA,Fall River County SD
46049,SDFU,Faulk County SD
46051,SDGR,Grant County SD
46053,SDGE,Gregory County SD
46055,SDHA,Haakon County SD
46057,SDHM,Hamlin County SD
46059,SDHN,Hand County SD
46061,SDHS,Hanson County SD
46063,SDHR,Harding County SD
46065,SDHU,Hughes County SD
46067,SDHT,Hutchinson County SD
46069,SDHY,Hyde County SD
46071,SDJA,Jackson County SD
46073,SDJE,Jerauld County SD
46075,SDJO,Jones County SD
46077,SDKI,Kingsbury County SD
46079,SDLA,Lake County SD
46081,SDLW,Lawrence County SD
46083,SDLI,Lincoln County SD
46085,SDLY,Lyman County SD
46087,SDMC,McCook County SD
46089,SDMP,McPherson County SD
46091,SDMA,Marshall County SD
46093,SDME,Meade County SD
46095,SDML,Mellette County SD
46097,SDMI,Miner County SD
46099,SDMN,Minnehaha County SD
46101,SDMO,Moody County SD
46102,SDOG,Oglala Lakota County SD
46103,SDPE,Pennington County SD
46105,SDPR,Perkins County SD
46107,SDPO,Potter County SD
46109,SDRO,Roberts County SD
46111,SDSA,Sanborn County SD
46113,SDSH,Shannon County SD
46115,SDSP,Spink County SD
46117,SDST,Stanley County SD
46119,SDSU,Sully County SD
46121,SDTO,Todd County SD
46123,SDTR,Tripp County SD
46125,SDTU,Turner County SD
46127,SDUN,Union County SD
46129,SDWA,Walworth County SD
46135,SDYA,Yankton County SD
46137,SDZI,Ziebach County SD
47001,TNAN,Anderson County TN
47003,TNBE,Bedford County TN
47005,TNBN,Benton County TN
47007,TNBL,Bledsoe County TN
47009,TNBO,Blount County TN
47011,TNBR,Bradley County TN
47013,TNCA,Campbell County TN
47015,TNCN,Cannon County TN
47017,TNCR,Carroll County TN
47019,TNCT,Carter County TN
47021,TNCH,Cheatham County TN
47023,TNCE,Chester County TN
47025,TNCL,Claiborne County TN
47027,TNCY,Clay County TN
47029,TNCO,Cocke County TN
47031,TNCF,Coffee County TN
47033,TNCC,Crockett County TN
47035,TNCU,Cumberland County TN
47037,TNDA,Davidson County TN
47039,TNDE,Decatur County TN
47041,TNDK,De Kalb County TN
47043,TNDI,Dickson County TN
47045,TNDY,Dyer County TN
47047,TNFA,Fayette County TN
47049,TNFE,Fentress County TN
47051,TNFR,Franklin County TN
47053,TNGI,Gibson County TN
47055,TNGL,Giles County TN
47057,TNGR,Grainger County TN
47059,TNGE,Greene County TN
47061,TNGU,Grundy County TN
47063,TNHA,Hamblen County TN
47065,TNHM,Hamilton County TN
47067,TNHN,Hancock County TN
47069,TNHR,Hardeman County TN
47071,TNHD,Hardin County TN
47073,TNHW,Hawkins County TN
47075,TNHY,Haywood County TN
47077,TNHE,Henderson County TN
47079,TNHC,Henry County TN
47081,TNHI,Hickman County TN
47083,TNHO,Houston County TN
47085,TNHU,Humphreys County TN
47087,TNJA,Jackson County TN
47089,TNJE,Jefferson County TN
47091,TNJO,Johnson County TN
47093,TNKN,Knox County TN
47095,TNLA,Lake County TN
47097,TNLU,Lauderdale County TN
47099,TNLW,Lawrence County TN
47101,TNLE,Lewis County TN
47103,TNLI,Lincoln County TN
47105,TNLO,Loudon County TN
47107,TNMC,McMinn County TN
47109,TNMN,McNairy County TN
47111,TNMA,Macon County TN
47113,TNMD,Madison County TN
47115,TNMR,Marion County TN
47117,TNMS,Marshall County TN
47119,TNMU,Maury County TN
47121,TNME,Meigs County TN
47123,TNMO,Monroe County TN
47125,TNMT,Montgomery County TN
47127,TNMY,Moore County TN
47129,TNMG,Morgan County TN
47131,TNOB,Obion County TN
47133,TNOV,Overton County TN
47135,TNPE,Perry County TN
47137,TNPI,Pickett County TN
47139,TNPO,Polk County TN
47141,TNPU,Putnam County TN
47143,TNRH,Rhea County TN
47145,TNRO,Roane County TN
47147,TNRB,Robertson County TN
47149,TNRU,Rutherford County TN
47151,TNSC,Scott County TN
47153,TNSE,Sequatchie County TN
47155,TNSV,Sevier County TN
47157,TNSH,Shelby County TN
47159,TNSM,Smith County TN
47161,TNST,Stewart County TN
47163,TNSU,Sullivan County TN
47165,TNSN,Sumner County TN
47167,TNTI,Tipton County TN
47169,TNTR,Trousdale County TN
47171,TNUN,Unicoi County TN
47173,TNUI,Union County TN
47175,TNVA,Van Buren County TN
47177,TNWA,Warren County TN
47179,TNWS,Washington County TN
47181,TNWY,Wayne County TN
47183,TNWE,Weakley County TN
47185,TNWH,White County TN
47187,TNWI,Williamson County TN
47189,TNWL,Wilson County TN
48001,TXAN,Anderson County TX
48003,TXAD,Andrews County TX
48005,TXAG,Angelina County TX
48007,TXAR,Aransas County TX
48009,TXAC,Archer County TX
48011,TXAM,Armstrong County TX
48013,TXAT,Atascosa County TX
48015,TXAU,Austin County TX
48017,TXBA,Bailey County TX
48019,TXBN,Bandera County TX
48021,TXBS,Bastrop County TX
48023,TXBY,Baylor County TX
48025,TXBE,Bee County TX
48027,TXBL,Bell County TX
48029,TXBX,Bexar County TX
48031,TXBC,Blanco County TX
48033,TXBO,Borden County TX
48035,TXBQ,Bosque County TX
48037,TXBW,Bowie County TX
48039,TXBR,Brazoria County TX
48041,TXBZ,Brazos County TX
48043,TXBT,Brewster County TX
48045,TXBI,Briscoe County TX
48047,TXBK,Brooks County TX
48049,TXBU,Brown County TX
48051,TXBB,Burleson County TX
48053,TXBD,Burnet County TX
48055,TXCA,Caldwell County TX
48057,TXCL,Calhoun County TX
48059,TXCH,Callahan County TX
48061,TXCM,Cameron County TX
48063,TXCP,Camp County TX
48065,TXCR,Carson County TX
48067,TXCS,Cass County TX
48069,TXCT,Castro County TX
48071,TXCB,Chambers County TX
48073,TXCE,Cherokee County TX
48075,TXCI,Childress County TX
48077,TXCY,Clay County TX
48079,TXCO,Cochran County TX
48081,TXCK,Coke County TX
48083,TXCN,Coleman County TX
48085,TXCC,Collin County TX
48087,TXCG,Collingsworth County TX
48089,TXCD,Colorado County TX
48091,TXCU,Comal County TX
48093,TXCX,Comanche County TX
48095,TXC1,Concho County TX
48097,TXC2,Cooke County TX
48099,TXC3,Coryell County TX
48101,TXC4,Cottle County TX
48103,TXC5,Crane County TX
48105,TXC6,Crockett County TX
48107,TXC7,Crosby County TX
48109,TXC8,Culberson County TX
48111,TXDA,Dallam County TX
48113,TXDL,Dallas County TX
48115,TXDW,Dawson County TX
48117,TXDE,Deaf Smith County TX
48119,TXDT,Delta County TX
48121,TXDN,Denton County TX
48123,TXDI,De Witt County TX
48125,TXDC,Dickens County TX
48127,TXDM,Dimmit County TX
48129,TXDO,Donley County TX
48131,TXDU,Duval County TX
48133,TXEA,Eastland County TX
48135,TXEC,Ector County TX
48137,TXED,Edwards County TX
48139,TXEL,Ellis County TX
48141,TXEP,El Paso County TX
48143,TXER,Erath County TX
48145,TXFA,Falls County TX
48147,TXFN,Fannin County TX
48149,TXFY,Fayette County TX
48151,TXFI,Fisher County TX
48153,TXFL,Floyd County TX
48155,TXFO,Foard County TX
48157,TXFR,Fort Bend County TX
48159,TXFK,Franklin County TX
48161,TXFE,Freestone County TX
48163,TXFC,Frio County TX
48165,TXGA,Gaines County TX
48167,TXGL,Galveston County TX
48169,TXGR,Garza County TX
48171,TXGI,Gillespie County TX
48173,TXGS,Glasscock County TX
48175,TXGO,Goliad County TX
48177,TXGN,Gonzales County TX
48179,TXGY,Gray County TX
